Percentile Padj Defensive Actions,Percentile Turnovers,Percentile Aerial Challenges,Percentile Aerial Win %,Percentile True Tackle Win%,Percentile Pressures,Percentile Successful Pressures,Percentile xT,Percentile xT Facilitated,Percentile xGBuildup,Percentile xGChain,Percentile Carry Distance,Percentile Final Third Entries,Percentile Progressive Moves,Percentile Passes Success %,Percentile Long Passes Success %,Percentile Under Pressure Passes Success %,Percentile Progressive Passes Success %,Percentile CPF,Percentile Successful Passes and Carries
Jan Bednarek,Kyle Walker,Héctor Alfredo Moreno Herrera,Carlos Joel Salcedo Hernández,Kalidou Koulibaly,John Stones,Vincent Kompany,Mathias Jattah-Njie Jørgensen,Sergio Ramos García,Kléper Laveran Lima Ferreira,Kléper Laveran Lima Ferreira,Dejan Lovren,Sergei Ignashevich,Kalidou Koulibaly,Osama Abdulrezag Hawsawi,Medhi Amine El Mouttaqi Benatia,Yassine Meriah,Dejan Lovren,Young-Gwon Kim,Romain Saïss
Andreas Christensen,Kléper Laveran Lima Ferreira,Manuel Marouan da Costa Trinidade,Kenneth Josiah Omeruo,Gen Shōji,Sergio Ramos García,Harry Maguire,Fidel Escobar Mendieta,Thiago Emiliano da Silva,José María Giménez de Vargas,Kyle Walker,Ahmed Hegazi,José María Giménez de Vargas,Andreas Granqvist,Fidel Escobar Mendieta,Giancarlo González Castro,Kyle Walker,Fidel Escobar Mendieta,Harry Maguire,Mathias Jattah-Njie Jørgensen
Toby Alderweireld,Kenneth Josiah Omeruo,Thiago Emiliano da Silva,Gen Shōji,Ragnar Sigurðsson,Kyle Walker,Anga Dedryck Boyata,Dejan Lovren,Toby Alderweireld,Kyle Walker,José María Giménez de Vargas,Jan Vertonghen,Diego Roberto Godín Leal,John Stones,José María Giménez de Vargas,Fidel Escobar Mendieta,Salif Sané,Carlos Joel Salcedo Hernández,Phil Jones,Duško Tošić
Ahmed Hegazi,Kári Árnason,Phil Jones,Young-Gwon Kim,Harry Maguire,Gen Shōji,Héctor Alfredo Moreno Herrera,Ahmed Hegazi,Vincent Kompany,Ahmed Hegazi,Kenneth Josiah Omeruo,Jan Bednarek,Kalidou Koulibaly,Vincent Kompany,Diego Roberto Godín Leal,Toby Alderweireld,Trent Sainsbury,Kalidou Koulibaly,Manuel Marouan da Costa Trinidade,Osama Abdulrezag Hawsawi
Gen Shōji,Kalidou Koulibaly,Ahmed Hegazi,Medhi Amine El Mouttaqi Benatia,Ali Gabr,Ahmed Hegazi,Leon-Aderemi Balogun,Hugo Ayala Castro,Carlos Joel Salcedo Hernández,Victor Nilsson Lindelöf,Ahmed Hegazi,Kalidou Koulibaly,Ilya Kutepov,Ahmed Hegazi,Fabian Lukas Schär,João Miranda de Souza Filho,Kalidou Koulibaly,Andreas Granqvist,Nikola Milenković,Domagoj Vida
Giancarlo González Castro,José Miguel da Rocha Fonte,Nikola Milenković,Christian Guillermo Martín Ramos Garagay,Raphaël Varane,Diego Roberto Godín Leal,Ahmed Hegazi,Vincent Kompany,João Miranda de Souza Filho,Vincent Kompany,Román Aureliano Torres Morcillo,Samuel Yves Umtiti,Fidel Escobar Mendieta,Davinson Sánchez Mina,Christian Guillermo Martín Ramos Garagay,Sergei Ignashevich,Yerry Fernando Mina González,Victor Nilsson Lindelöf,John Stones,José Miguel da Rocha Fonte
Kalidou Koulibaly,José María Giménez de Vargas,John Stones,Raphaël Varane,Vincent Kompany,Young-Gwon Kim,Johnny Acosta Zamora,Nicolás Hernán Otamendi,Diego Roberto Godín Leal,Román Aureliano Torres Morcillo,Victor Nilsson Lindelöf,Manuel Marouan da Costa Trinidade,Hyun-Soo Jang,Dejan Lovren,Hyun-Soo Jang,Simon Thorup Kjær,Nicolás Hernán Otamendi,Fabian Lukas Schär,Salif Sané,José María Giménez de Vargas
Héctor Alfredo Moreno Herrera,Johnny Acosta Zamora,Johnny Acosta Zamora,Sergio Ramos García,Manuel Marouan da Costa Trinidade,Maya Yoshida,Toby Alderweireld,Manuel Obafemi Akanji,Trent Sainsbury,William Troost-Ekong,Faustino Marcos Alberto Rojo,Victor Nilsson Lindelöf,Maya Yoshida,Mathias Jattah-Njie Jørgensen,Romain Saïss,Young-Gwon Kim,Toby Alderweireld,Ilya Kutepov,Dejan Lovren,Nikola Milenković
Salif Sané,John Stones,Román Aureliano Torres Morcillo,Ali Gabr,Victor Nilsson Lindelöf,Fidel Escobar Mendieta,Samuel Yves Umtiti,Jan Bednarek,Manuel Obafemi Akanji,Giancarlo González Castro,Vincent Kompany,Salif Sané,Kléper Laveran Lima Ferreira,Samuel Yves Umtiti,Domagoj Vida,Duško Tošić,Kléper Laveran Lima Ferreira,Seyed Majid Hosseini,José Miguel da Rocha Fonte,Christian Guillermo Martín Ramos Garagay
Leon-Aderemi Balogun,João Miranda de Souza Filho,Jan Vertonghen,Faustino Marcos Alberto Rojo,Trent Sainsbury,Victor Nilsson Lindelöf,Sergei Ignashevich,Maya Yoshida,Gerard Piqué Bernabéu,Diego Roberto Godín Leal,Diego Roberto Godín Leal,Davinson Sánchez Mina,Andreas Christensen,Thiago Emiliano da Silva,Andreas Granqvist,Kléper Laveran Lima Ferreira,Mathias Jattah-Njie Jørgensen,Román Aureliano Torres Morcillo,Ahmed Hegazi,Ahmed Hegazi
Manuel Marouan da Costa Trinidade,Jan Vertonghen,Christian Guillermo Martín Ramos Garagay,Anga Dedryck Boyata,Maya Yoshida,Romain Saïss,Mark Milligan,Kenneth Josiah Omeruo,Jan Vertonghen,Leon-Aderemi Balogun,Héctor Alfredo Moreno Herrera,Andreas Granqvist,Osama Abdulrezag Hawsawi,Phil Jones,José Miguel da Rocha Fonte,Andreas Granqvist,Kenneth Josiah Omeruo,Yerry Fernando Mina González,João Miranda de Souza Filho,Kléper Laveran Lima Ferreira
Vincent Kompany,Jan Bednarek,Osama Abdulrezag Hawsawi,Davinson Sánchez Mina,Carlos Joel Salcedo Hernández,Anga Dedryck Boyata,Gen Shōji,Gen Shōji,Raphaël Varane,Osama Abdulrezag Hawsawi,William Troost-Ekong,José Miguel da Rocha Fonte,Hugo Ayala Castro,Maya Yoshida,Johnny Acosta Zamora,Hugo Ayala Castro,Román Aureliano Torres Morcillo,Young-Gwon Kim,Vincent Kompany,Salif Sané
Christian Guillermo Martín Ramos Garagay,Ilya Kutepov,Leon-Aderemi Balogun,Diego Roberto Godín Leal,Simon Thorup Kjær,Samuel Yves Umtiti,Nikola Milenković,Trent Sainsbury,Simon Thorup Kjær,Phil Jones,Giancarlo González Castro,Kléper Laveran Lima Ferreira,Carlos Joel Salcedo Hernández,Ilya Kutepov,Medhi Amine El Mouttaqi Benatia,Fabian Lukas Schär,Samuel Yves Umtiti,João Miranda de Souza Filho,Kléper Laveran Lima Ferreira,Óscar Esau Duarte Gaitán
Andreas Granqvist,Hyun-Soo Jang,Samuel Yves Umtiti,Phil Jones,Gerard Piqué Bernabéu,Vincent Kompany,Victor Nilsson Lindelöf,Carlos Joel Salcedo Hernández,Ahmed Hegazi,Faustino Marcos Alberto Rojo,Leon-Aderemi Balogun,Hugo Ayala Castro,Victor Nilsson Lindelöf,Hugo Ayala Castro,Román Aureliano Torres Morcillo,Carlos Joel Salcedo Hernández,Leon-Aderemi Balogun,Diego Roberto Godín Leal,Simon Thorup Kjær,Samuel Yves Umtiti
Samuel Yves Umtiti,Hugo Ayala Castro,Domagoj Vida,Kári Árnason,Johnny Acosta Zamora,Salif Sané,Kári Árnason,Thiago Emiliano da Silva,Kenneth Josiah Omeruo,Sergei Ignashevich,Osama Abdulrezag Hawsawi,José María Giménez de Vargas,Kári Árnason,José María Giménez de Vargas,Duško Tošić,Ali Gabr,Dejan Lovren,Davinson Sánchez Mina,Mathias Jattah-Njie Jørgensen,Kalidou Koulibaly
William Troost-Ekong,Héctor Alfredo Moreno Herrera,Andreas Granqvist,Ahmed Hegazi,Leon-Aderemi Balogun,José María Giménez de Vargas,Medhi Amine El Mouttaqi Benatia,Leon-Aderemi Balogun,Nicolás Hernán Otamendi,Carlos Joel Salcedo Hernández,Phil Jones,Domagoj Vida,Medhi Amine El Mouttaqi Benatia,Fidel Escobar Mendieta,Young-Gwon Kim,Johnny Acosta Zamora,Carlos Joel Salcedo Hernández,William Troost-Ekong,Morteza Pouraliganji,Leon-Aderemi Balogun
Fidel Escobar Mendieta,Harry Maguire,Kenneth Josiah Omeruo,Mathias Jattah-Njie Jørgensen,Giancarlo González Castro,Harry Maguire,Dejan Lovren,Hyun-Soo Jang,José Miguel da Rocha Fonte,Ali Gabr,Carlos Joel Salcedo Hernández,Hyun-Soo Jang,Vincent Kompany,Johnny Acosta Zamora,Hugo Ayala Castro,Román Aureliano Torres Morcillo,Fidel Escobar Mendieta,Ahmed Hegazi,William Troost-Ekong,William Troost-Ekong
Nikola Milenković,Giancarlo González Castro,Andreas Christensen,Mark Milligan,Óscar Esau Duarte Gaitán,Simon Thorup Kjær,Kyle Walker,Domagoj Vida,Domagoj Vida,Héctor Alfredo Moreno Herrera,Sergei Ignashevich,Mathias Jattah-Njie Jørgensen,Leon-Aderemi Balogun,Ragnar Sigurðsson,Kléper Laveran Lima Ferreira,Héctor Alfredo Moreno Herrera,Ahmed Hegazi,Hugo Ayala Castro,Mark Milligan,Kenneth Josiah Omeruo
Kyle Walker,Gerard Piqué Bernabéu,Victor Nilsson Lindelöf,Yassine Meriah,Dejan Lovren,Manuel Marouan da Costa Trinidade,Gerard Piqué Bernabéu,Phil Jones,Héctor Alfredo Moreno Herrera,José Miguel da Rocha Fonte,Óscar Esau Duarte Gaitán,William Troost-Ekong,Ahmed Hegazi,Yerry Fernando Mina González,Davinson Sánchez Mina,Davinson Sánchez Mina,Anga Dedryck Boyata,Giancarlo González Castro,Kalidou Koulibaly,Hugo Ayala Castro
Simon Thorup Kjær,Gen Shōji,João Miranda de Souza Filho,Kalidou Koulibaly,José Miguel da Rocha Fonte,Andreas Granqvist,Raphaël Varane,Jan Vertonghen,Andreas Granqvist,Salif Sané,Ali Gabr,Leon-Aderemi Balogun,Mathias Jattah-Njie Jørgensen,Seyed Majid Hosseini,Kalidou Koulibaly,Ilya Kutepov,Fabian Lukas Schär,Manuel Marouan da Costa Trinidade,Kyle Walker,Andreas Granqvist
Óscar Esau Duarte Gaitán,Fidel Escobar Mendieta,Yassine Meriah,Manuel Obafemi Akanji,Mathias Jattah-Njie Jørgensen,Raphaël Varane,Jan Bednarek,Davinson Sánchez Mina,John Stones,Kenneth Josiah Omeruo,José Miguel da Rocha Fonte,Nikola Milenković,Davinson Sánchez Mina,Leon-Aderemi Balogun,Victor Nilsson Lindelöf,Maya Yoshida,Domagoj Vida,Óscar Esau Duarte Gaitán,Domagoj Vida,Manuel Marouan da Costa Trinidade
Raphaël Varane,Faustino Marcos Alberto Rojo,Ali Gabr,Jan Vertonghen,Andreas Granqvist,Dejan Lovren,Carlos Joel Salcedo Hernández,John Stones,Phil Jones,Andreas Granqvist,Andreas Granqvist,Young-Gwon Kim,Samuel Yves Umtiti,Young-Gwon Kim,Óscar Esau Duarte Gaitán,Faustino Marcos Alberto Rojo,Jan Bednarek,Phil Jones,Fidel Escobar Mendieta,Hyun-Soo Jang
Ali Gabr,Fabian Lukas Schär,Fidel Escobar Mendieta,José María Giménez de Vargas,Samuel Yves Umtiti,Gerard Piqué Bernabéu,Simon Thorup Kjær,Osama Abdulrezag Hawsawi,Jan Bednarek,Morteza Pouraliganji,Salif Sané,Kenneth Josiah Omeruo,Nikola Milenković,Hyun-Soo Jang,Ali Gabr,Domagoj Vida,Osama Abdulrezag Hawsawi,Hyun-Soo Jang,Anga Dedryck Boyata,Young-Gwon Kim
Ilya Kutepov,Duško Tošić,Young-Gwon Kim,Simon Thorup Kjær,Faustino Marcos Alberto Rojo,Sergei Ignashevich,Salif Sané,Ragnar Sigurðsson,Hyun-Soo Jang,Manuel Marouan da Costa Trinidade,Morteza Pouraliganji,Osama Abdulrezag Hawsawi,Giancarlo González Castro,Kenneth Josiah Omeruo,William Troost-Ekong,Kalidou Koulibaly,Seyed Majid Hosseini,Ragnar Sigurðsson,Jan Vertonghen,Giancarlo González Castro
Ragnar Sigurðsson,Domagoj Vida,Jan Bednarek,João Miranda de Souza Filho,Román Aureliano Torres Morcillo,Mark Milligan,Fidel Escobar Mendieta,Román Aureliano Torres Morcillo,Andreas Christensen,Hyun-Soo Jang,Manuel Marouan da Costa Trinidade,Johnny Acosta Zamora,Ragnar Sigurðsson,Román Aureliano Torres Morcillo,Ahmed Hegazi,William Troost-Ekong,Diego Roberto Godín Leal,Nicolás Hernán Otamendi,Jan Bednarek,Fidel Escobar Mendieta
Hyun-Soo Jang,Diego Roberto Godín Leal,Kalidou Koulibaly,Morteza Pouraliganji,William Troost-Ekong,Ilya Kutepov,Young-Gwon Kim,Giancarlo González Castro,Román Aureliano Torres Morcillo,Johnny Acosta Zamora,Hyun-Soo Jang,Giancarlo González Castro,Domagoj Vida,Nikola Milenković,Salif Sané,Victor Nilsson Lindelöf,José María Giménez de Vargas,Kári Árnason,Victor Nilsson Lindelöf,Román Aureliano Torres Morcillo
Sergei Ignashevich,Dejan Lovren,Medhi Amine El Mouttaqi Benatia,Yerry Fernando Mina González,Ilya Kutepov,Héctor Alfredo Moreno Herrera,Thiago Emiliano da Silva,Andreas Christensen,Mark Milligan,Romain Saïss,Johnny Acosta Zamora,Román Aureliano Torres Morcillo,William Troost-Ekong,José Miguel da Rocha Fonte,Ilya Kutepov,José María Giménez de Vargas,Young-Gwon Kim,Medhi Amine El Mouttaqi Benatia,Davinson Sánchez Mina,Victor Nilsson Lindelöf
Johnny Acosta Zamora,Davinson Sánchez Mina,Romain Saïss,Héctor Alfredo Moreno Herrera,Kyle Walker,Jan Bednarek,Diego Roberto Godín Leal,João Miranda de Souza Filho,Yerry Fernando Mina González,Óscar Esau Duarte Gaitán,Romain Saïss,Seyed Majid Hosseini,Johnny Acosta Zamora,Andreas Christensen,Seyed Majid Hosseini,Manuel Marouan da Costa Trinidade,Maya Yoshida,José Miguel da Rocha Fonte,Ali Gabr,Johnny Acosta Zamora
Mathias Jattah-Njie Jørgensen,Christian Guillermo Martín Ramos Garagay,Vincent Kompany,Vincent Kompany,Yassine Meriah,Ali Gabr,Andreas Granqvist,Ali Gabr,Fabian Lukas Schär,Seyed Majid Hosseini,Seyed Majid Hosseini,Ilya Kutepov,Seyed Majid Hosseini,Domagoj Vida,Leon-Aderemi Balogun,Seyed Majid Hosseini,Sergei Ignashevich,Maya Yoshida,Leon-Aderemi Balogun,Ilya Kutepov
Young-Gwon Kim,Carlos Joel Salcedo Hernández,Mathias Jattah-Njie Jørgensen,Fidel Escobar Mendieta,Anga Dedryck Boyata,Medhi Amine El Mouttaqi Benatia,William Troost-Ekong,Yerry Fernando Mina González,Davinson Sánchez Mina,Hugo Ayala Castro,Hugo Ayala Castro,Fidel Escobar Mendieta,João Miranda de Souza Filho,Giancarlo González Castro,Morteza Pouraliganji,Morteza Pouraliganji,Ali Gabr,Domagoj Vida,Ilya Kutepov,Ali Gabr
Román Aureliano Torres Morcillo,Anga Dedryck Boyata,Mark Milligan,Leon-Aderemi Balogun,Hyun-Soo Jang,Thiago Emiliano da Silva,Morteza Pouraliganji,Anga Dedryck Boyata,Mathias Jattah-Njie Jørgensen,Mathias Jattah-Njie Jørgensen,Mathias Jattah-Njie Jørgensen,Sergei Ignashevich,Román Aureliano Torres Morcillo,João Miranda de Souza Filho,Sergei Ignashevich,Óscar Esau Duarte Gaitán,Morteza Pouraliganji,Ali Gabr,Sergei Ignashevich,Sergei Ignashevich
Kári Árnason,Andreas Granqvist,Hugo Ayala Castro,Seyed Majid Hosseini,Morteza Pouraliganji,Morteza Pouraliganji,Seyed Majid Hosseini,Fabian Lukas Schär,Anga Dedryck Boyata,Davinson Sánchez Mina,Kári Árnason,Kári Árnason,Anga Dedryck Boyata,Anga Dedryck Boyata,Kenneth Josiah Omeruo,Kenneth Josiah Omeruo,William Troost-Ekong,Kenneth Josiah Omeruo,Román Aureliano Torres Morcillo,Kári Árnason
Morteza Pouraliganji,Andreas Christensen,Ragnar Sigurðsson,Toby Alderweireld,Seyed Majid Hosseini,Giancarlo González Castro,Giancarlo González Castro,Kalidou Koulibaly,Leon-Aderemi Balogun,Ragnar Sigurðsson,Davinson Sánchez Mina,Ali Gabr,Morteza Pouraliganji,Osama Abdulrezag Hawsawi,Manuel Marouan da Costa Trinidade,Ragnar Sigurðsson,Kári Árnason,Osama Abdulrezag Hawsawi,Kenneth Josiah Omeruo,Morteza Pouraliganji
Seyed Majid Hosseini,Ali Gabr,Toby Alderweireld,Hugo Ayala Castro,Christian Guillermo Martín Ramos Garagay,Óscar Esau Duarte Gaitán,Manuel Marouan da Costa Trinidade,Morteza Pouraliganji,Morteza Pouraliganji,Yerry Fernando Mina González,Ragnar Sigurðsson,Morteza Pouraliganji,Yerry Fernando Mina González,Ali Gabr,Ragnar Sigurðsson,Kári Árnason,Davinson Sánchez Mina,Morteza Pouraliganji,Osama Abdulrezag Hawsawi,Ragnar Sigurðsson
Victor Nilsson Lindelöf,Ahmed Hegazi,Seyed Majid Hosseini,Ragnar Sigurðsson,Medhi Amine El Mouttaqi Benatia,Seyed Majid Hosseini,Óscar Esau Duarte Gaitán,José Miguel da Rocha Fonte,Hugo Ayala Castro,Kári Árnason,Yerry Fernando Mina González,Ragnar Sigurðsson,Ali Gabr,Morteza Pouraliganji,Kári Árnason,Leon-Aderemi Balogun,Ilya Kutepov,Leon-Aderemi Balogun,Seyed Majid Hosseini,Seyed Majid Hosseini
